model,background,color,smaller,partial_view,pattern,pose,shape,subcategory,texture
*benchmark,1.0646907812659978,1.2875265356433614,2.0190358076763326,0.9480200306742802,1.0575033164577525,0.6656721382278697,2.961583236321304,3.5501029820005376,1.8098564221963527
*moco,1.0331325736338652,1.231256599788807,1.8561657283248343,1.0944503109233839,1.0737702905134947,0.7508302506174814,2.2386483632523766,1.8942409227520105,1.8762005330115152
mixed_patches_4_32,1.006178019904319,1.3353240859662643,1.8763394849063364,0.8620872900348883,1.0064994414542499,0.76719335325866,2.0058224163027654,1.6972343522561864,1.9396964025784986
mixed_patches_4_56,1.0461283501914393,1.3223791709666322,1.7817743689206267,0.8117516012252856,1.1001121991024072,0.7342111497649596,1.8596491228070173,2.0980656770130457,1.6235032024505707
patch32_ratio60,1.0258460794926356,1.4278398717549095,1.8629103123490274,0.9527173978347333,1.0571448691090257,0.7151653864343256,2.246782740348221,1.765329295987888,1.8493925957968351
patch32_ratio80,1.0635615173510475,1.3194766095414545,1.7280101293870929,0.9538807649043869,1.125801135323201,0.7243087151419505,1.8210450966356475,1.5408843125378557,1.5898012748406447
patch4_ratio60,1.0307136672741404,1.340524653097133,1.768543601761356,1.1575323988648258,1.0691666798412724,0.735194571959084,2.3059143439836847,1.707263504680228,1.9627723285099221
patch4_ratio80,1.0338972666964419,1.2986465943161185,1.6824971952367727,1.1160564728403928,1.0609025192407222,0.7602985993017174,1.9784637473079685,2.1891876967253854,1.5943663897719893
patch56_ratio40,1.053172344542137,1.2892525431225121,1.709328597876601,1.1132593388232486,1.0805735268403567,0.7402343812623242,1.9127819548872178,1.7533834586466166,2.0038668098818473
patch56_ratio60,1.026827769619298,1.3425410222355512,1.8606360279181777,0.9166348743916115,1.0467318213384371,0.7424018188114675,2.007283321194464,1.6984705025491622,1.6175909548087257
